Confirmed,Deaths,Recovered
2,0,2
2,0,0
2,0,2
2,0,2
2,0,2
2,0,0
2,0,0
2,0,0
1,0,1
1,0,1
1,0,1
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
62662,2144,11881
1333,5,690
1267,19,736
1203,1,679
1011,4,661
988,6,539
934,1,489
749,4,281
634,2,1
631,0,373
572,6,316
525,3,231
479,12,175
396,4,169
334,2,211
308,5,184
293,1,149
246,2,97
245,1,134
204,2,16
174,2,96
168,4,95
146,2,77
132,0,78
132,3,62
121,1,61
105,1,22
91,2,76
91,1,45
85,0,37
76,1,24
75,0,17
71,0,48
68,2,5
35,0,17
26,1,2
22,0,15
20,1,0
18,4,0
18,0,18
16,0,14
16,0,14
12,1,4
11,0,0
10,0,6
9,0,8
9,0,4
6,0,0
5,0,1
5,0,0
4,0,0
4,0,4
4,0,4
3,0,3
3,1,1
2,0,2
2,0,2
2,0,2
2,0,2
2,0,2
2,0,0
2,0,0
2,0,1
2,0,1
1,0,1
1,0,1
1,0,1
1,0,0
1,0,1
1,0,0
1,0,0
1,0,1
1,0,1
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
64084,2346,15299
1339,5,728
1270,19,830
1205,1,719
1013,4,692
989,6,597
934,1,555
750,4,302
634,2,1
631,0,401
573,6,328
526,3,250
479,12,204
433,2,16
399,4,178
335,3,227
309,6,203
293,1,162
249,2,104
245,1,149
174,2,107
168,4,104
146,2,90
135,3,65
132,0,81
122,1,22
121,1,66
91,2,76
91,1,52
85,0,37
76,2,25
75,0,26
71,0,48
69,2,6
62,2,1
35,0,17
28,5,0
26,1,2
22,0,15
18,0,18
16,0,14
16,0,14
13,0,4
12,1,4
11,0,0
10,0,6
9,0,8
7,0,0
6,0,0
5,0,1
5,0,0
4,0,4
4,0,4
3,0,3
3,1,1
2,0,2
2,0,2
2,0,2
2,0,2
2,0,2
2,0,0
2,0,0
2,0,1
2,0,1
1,0,1
1,0,1
1,0,1
1,0,0
1,0,1
1,0,0
1,0,0
1,0,1
1,0,1
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
64084,2346,15343
1342,6,755
1271,19,868
1205,1,760
1016,4,714
989,6,637
934,1,613
754,4,321
691,3,0
631,0,418
602,6,18
575,6,335
526,3,261
480,12,222
399,4,189
335,3,249
311,6,219
293,1,170
249,2,106
245,1,163
174,2,115
168,5,106
155,3,2
147,1,22
146,2,102
135,3,81
132,0,88
121,1,73
91,2,78
91,1,54
89,0,51
76,2,28
75,0,27
74,2,11
71,0,56
43,8,0
35,0,21
28,1,2
22,0,15
18,0,18
16,0,14
16,0,14
13,0,4
12,1,4
11,0,0
10,0,6
9,0,8
7,0,0
6,0,0
5,0,1
5,0,0
4,0,4
4,0,4
3,0,3
3,1,1
2,0,2
2,0,2
2,0,2
